Search Type, N, Target, Guesses
Linear Search: Size 97500 | Average Guesses = 52406.7 
Binary Search: Size 97500 | Average Guesses =  15.6
Linear Search: Size 98000 | Average Guesses = 43255.1 
Binary Search: Size 98000 | Average Guesses =  15.2
Linear Search: Size 98500 | Average Guesses = 51526.7 
Binary Search: Size 98500 | Average Guesses =  15.4
Linear Search: Size 99000 | Average Guesses = 47385.7 
Binary Search: Size 99000 | Average Guesses =  15.7
Linear Search: Size 99500 | Average Guesses = 49478.7 
Binary Search: Size 99500 | Average Guesses =  15.3
Binary Search: Size 100000 | Average Guesses =  15.9
Linear Search: Size 100000 | Average Guesses = 40978.3 
Binary Search: Size 100500 | Average Guesses =  15.7
Linear Search: Size 100500 | Average Guesses = 38822.6 
Linear Search: Size 101000 | Average Guesses = 47976 
Binary Search: Size 101000 | Average Guesses =  15.8
Linear Search: Size 101500 | Average Guesses = 45381 
Binary Search: Size 101500 | Average Guesses =  15.2
Binary Search: Size 102000 | Average Guesses =  16.1
Linear Search: Size 102000 | Average Guesses = 56376.3 
Linear Search: Size 102500 | Average Guesses = 35935.5 
Binary Search: Size 102500 | Average Guesses =  15.8
Linear Search: Size 103000 | Average Guesses = 48102.6 
Binary Search: Size 103000 | Average Guesses =  15.4
Linear Search: Size 103500 | Average Guesses = 51812 
Binary Search: Size 103500 | Average Guesses =  15.8
Linear Search: Size 104000 | Average Guesses = 32169.6 
Binary Search: Size 104000 | Average Guesses =  16.1
Binary Search: Size 104500 | Average Guesses =  15.5
Linear Search: Size 104500 | Average Guesses = 41685 
Linear Search: Size 105000 | Average Guesses = 58768.8 
Binary Search: Size 105000 | Average Guesses =  16.1
Linear Search: Size 105500 | Average Guesses = 45467 
Binary Search: Size 105500 | Average Guesses =  16
Linear Search: Size 106000 | Average Guesses = 47884 
Binary Search: Size 106000 | Average Guesses =  14.9
Binary Search: Size 89000 | Average Guesses =  14.8
Binary Search: Size 106500 | Average Guesses =  15.6
Linear Search: Size 107000 | Average Guesses = 37778.2 
Binary Search: Size 107000 | Average Guesses =  15.6
Linear Search: Size 107500 | Average Guesses = 52722.1 
Binary Search: Size 107500 | Average Guesses =  15.6
Linear Search: Size 108000 | Average Guesses = 67471.8 
Binary Search: Size 108000 | Average Guesses =  15.9
Binary Search: Size 96500 | Average Guesses =  16.3
Binary Search: Size 108500 | Average Guesses =  15.7
Linear Search: Size 108500 | Average Guesses = 59860.4 
Binary Search: Size 109000 | Average Guesses =  16.5
Linear Search: Size 106500 | Average Guesses = 72405.5 
Binary Search: Size 109500 | Average Guesses =  16.6
Linear Search: Size 110000 | Average Guesses = 68352.4 
Binary Search: Size 110000 | Average Guesses =  15.3
Linear Search: Size 110500 | Average Guesses = 42257 
Binary Search: Size 110500 | Average Guesses =  15.6
Linear Search: Size 111000 | Average Guesses = 61525.7 
Binary Search: Size 111000 | Average Guesses =  16.2
Linear Search: Size 111500 | Average Guesses = 59568.9 
Binary Search: Size 111500 | Average Guesses =  16.7
Linear Search: Size 112000 | Average Guesses = 51941.2 
Binary Search: Size 112000 | Average Guesses =  15.7
Linear Search: Size 112500 | Average Guesses = 49965 
Binary Search: Size 112500 | Average Guesses =  15.7
Linear Search: Size 113000 | Average Guesses = 67362.4 
Binary Search: Size 113000 | Average Guesses =  16.6
Linear Search: Size 113500 | Average Guesses = 75955.1 
Binary Search: Size 113500 | Average Guesses =  15.8
Linear Search: Size 114000 | Average Guesses = 54546.2 
Linear Search: Size 109000 | Average Guesses = 67262.5 
Linear Search: Size 114500 | Average Guesses = 60288.1 
Linear Search: Size 109500 | Average Guesses = 49337.9 
Linear Search: Size 115000 | Average Guesses = 71046.9 
Binary Search: Size 114000 | Average Guesses =  15.5
Linear Search: Size 115500 | Average Guesses = 49524.5 
Binary Search: Size 115500 | Average Guesses =  15.2
